school_name,item_id,item_name,cube_subj,cube_grade,dim_subj,dim_grade,cube_rows,questions
Athenian Academy of Technology and the Arts,8325672509,Module 15 Test,ELA,Grade K,Math,Grade 6,92,18
Athenian Academy of Technology and the Arts,7892346412,Through an Animal?s Eyes Unit Test,ELA,Grade 6,ELA,Grade 8,50,38
Athenian Academy of Technology and the Arts,7799442022,Module Assessment: Home of the Free and the Brave,ELA,Grade 1,ELA,Grade K,30,30
Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,ELA,Grade 3,Math,Grade 4,24,20
Athenian Academy of Technology and the Arts,8342066250,Module Assessment: Zoom In!,ELA,Grade 1,ELA,Grade K,23,23
Athenian Academy of Technology and the Arts,7337899774,Happy Healthy Me: Weekly Assessment: Week 3,ELA,Grade K,ELA,Grade 1,18,18
Athenian Academy of Technology and the Arts,7622185498,M4W2 Vocabulary Quiz,,,ELA,Grade 5,9,1
Athenian Academy of Technology and the Arts,7627000905,Comparing Numbers Review HW,,,Math,Grade 1,8,8
Athenian Academy of Technology and the Arts,7629339742,Plant Needs 'Genius Challenge',,,Science,Grade 1,7,7
Athenian Academy of Technology and the Arts,7892360959,Unit: 3 Civilization in India and China,,,History,Grade 6,2,2
Athenian Academy of Technology and the Arts,7893463050,Module 2 Test,,,Math,Grade 6,1,1
Athenian Academy of Technology and the Arts,7338034079,Unit 7 Test,,,Civics,Grade 8,1,1
Athenian Academy of Technology and the Arts,7338323403,Unit: 3 Civilization in India and China,,,History,Grade 6,1,1
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,,,Algebra,Grade 8,1,1
Athenian Academy of Technology and the Arts,7892348517,What is the Horror Genre? Selection Test,,,ELA,Grade 8,1,1
Athenian Academy of Technology and the Arts,8029075718,Module 2 Test,,,Math,Grade 6,1,1
Central Florida Preparatory School,7997342490,Unit 7 Benchmark Test: Working With Electricity,ELA,Grade 1,Science,Grade 5,22,20
Central Florida Preparatory School,7997317688,Unit 11 Test: Organisms and Their Environment,ELA,Grade 5,Science,Grade 4,20,20
Central Florida Preparatory School,8347030584,Topic 8: Sectionalism and Civil War (1820-1865),Civics,Grade 7,History,Grade 8,20,20
Central Florida Preparatory School,8349556979,Chapter 13 Test: Fraction Concepts,ELA,Grade 3,Math,Grade 1,8,8
Central Florida Preparatory School,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,,Grade 2,ELA,Grade 2,3,3
Crestwell School,8358079682,Chapter 16 Test: Fraction Concepts,Reading,Grade 3,Math,Grade 2,4,1
Crestwell School,7928764338,Chapter 16 Test: Fraction Concepts,,,Math,Grade 2,2,2
Crestwell School,7935427513,Chapter 16 Test: Define Two-Dimensional Shapes,,,Math,Grade 3,2,2
