school_name,item_id,item_name,dqd_at,dim_at,dqd_rows
Athenian Academy of Technology and the Arts,7337912396,Chapter 6,Unit-Chap  Assessments,Lesson  Assessments,78
Athenian Academy of Technology and the Arts,7702567077,Module 12 Test,Lesson  Assessments,Assessments,60
Athenian Academy of Technology and the Arts,7510627015,Chapter 10 Add and Subtract Fractions,Lesson  Assessments,Assessments,51
Athenian Academy of Technology and the Arts,7594905351,Chapter 10 Add and Subtract Fractions,Lesson  Assessments,Assessments,51
Athenian Academy of Technology and the Arts,7797146594,Inspired by Nature Unit Test,Lesson  Assessments,Lesson Assessments,49
Athenian Academy of Technology and the Arts,7337899738,Module Assessment: My Community Heroes,Lesson  Assessments,Unit-Chap  Assessments,35
Athenian Academy of Technology and the Arts,7687663925,Chapter 16,Lesson  Assessments,Assessments,33
Athenian Academy of Technology and the Arts,7687678128,Chapter 16,Lesson  Assessments,Assessments,33
Athenian Academy of Technology and the Arts,7661454577,Chapter 9,Assessments,Lesson  Assessments,33
Athenian Academy of Technology and the Arts,7687689622,Chapter 16,Lesson  Assessments,Assessments,33
Athenian Academy of Technology and the Arts,7661454920,Chapter 9,Lesson  Assessments,Assessments,33
Athenian Academy of Technology and the Arts,7661455143,Chapter 9,Assessments,Lesson  Assessments,33
Athenian Academy of Technology and the Arts,7594902377,Chapter 12,Lesson  Assessments,Assessments,31
Athenian Academy of Technology and the Arts,7594900419,Chapter 12,Lesson  Assessments,Assessments,31
Athenian Academy of Technology and the Arts,7661450423,Chapter 11,Assessments,Lesson  Assessments,29
Athenian Academy of Technology and the Arts,7702564759,Module 13 Test,Lesson  Assessments,Assessments,29
Athenian Academy of Technology and the Arts,7338194137,Not My Bones / from Fortune?s Bones Selection Test,Lesson  Assessments,Assessments,29
Athenian Academy of Technology and the Arts,7687689604,Chapter 12,Lesson  Assessments,Assessments,28
Athenian Academy of Technology and the Arts,7488173920,Chapter 11,Assessments,Lesson  Assessments,28
Athenian Academy of Technology and the Arts,7687678078,Chapter 12,Assessments,Lesson  Assessments,28
Athenian Academy of Technology and the Arts,7702555934,Chapter 18,Lesson  Assessments,Assessments,27
Athenian Academy of Technology and the Arts,7594900430,Chapter 18,Lesson  Assessments,Assessments,27
Athenian Academy of Technology and the Arts,7702517984,Chapter 16,Lesson  Assessments,Assessments,25
Athenian Academy of Technology and the Arts,7702535724,Chapter 16,Lesson  Assessments,Assessments,25
