school_name,subject_id,subject,grade,grade_sort,grade_no,session,item_name
Athenian Academy of Technology and the Arts,1f0b105b14a7f0c53774d3faca3556ab9a9ae4b4c653977d598dad13af8cf49f,Math,Grade K,Grade 0,K,2025-26,2D & 3D Shapes
Athenian Academy of Technology and the Arts,ff5066fe63c9f7b0e81adfcd68a61a1584b8e2ceccfcc8aa76cb120f729a98c2,Math,Grade K,Grade 0,K,2025-26,2 Digit Addition
Athenian Academy of Technology and the Arts,942ff36a58e2ab77bb666b6dabd9166e40d551a6b917cbb4edefae5ba3b298bc,Math,Grade K,Grade 0,K,2025-26,Adding 3 Numbers
Athenian Academy of Technology and the Arts,0e7d44b89db1e6ec606ee2fe11384a143ee7076a103905505ad504383b48b669,Math,Grade K,Grade 0,K,2024-25,Chapter 1
Athenian Academy of Technology and the Arts,b18e2ef32c8a50b544d733f6a92a0eecf2995595740c4804e15310258eb6d79f,Math,Grade K,Grade 0,K,2024-25,Chapter 10
Athenian Academy of Technology and the Arts,c99ea2db56de742f805b98a89c2d68be18f179a6e13a8946234ba1d1952c1f6e,Math,Grade K,Grade 0,K,2024-25,Chapter 11
Athenian Academy of Technology and the Arts,e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Math,Grade K,Grade 0,K,2024-25,Chapter 12
Athenian Academy of Technology and the Arts,9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14,Math,Grade K,Grade 0,K,2024-25,Chapter 12
Athenian Academy of Technology and the Arts,18bc0a0c4f2d1c31bc42d3710907516ca4aa9f1027428f2167874ddf15d622b3,Math,Grade K,Grade 0,K,2024-25,Chapter 13
Athenian Academy of Technology and the Arts,a9bfcb90fd1434af321b93108f14977459427365af2561984b544a2533a155e0,Math,Grade K,Grade 0,K,2024-25,Chapter 14
Athenian Academy of Technology and the Arts,098f6b4bc5028d1160021c663368505cd4779b81b2240ef29b6feca683fcf3e3,Math,Grade K,Grade 0,K,2024-25,Chapter 15
Athenian Academy of Technology and the Arts,fb5e7a9ea73f4b7301aa440b0ecab2f38f68261261c0e65b83ea26f6bfc5e970,Math,Grade K,Grade 0,K,2024-25,Chapter 16
