school_name,cube_base_subject,dim_override_subject,cube_grade,dim_grade,cube_rows,items
Central Florida Preparatory School,Science,HS Physics,Higher-Ed,Higher-Ed,250,5
Central Florida Preparatory School,History,HS Economics,Higher-Ed,Higher-Ed,245,6
Central Florida Preparatory School,Math,HS Algebra I,Regular 9–12,Regular 9–12,214,8
Central Florida Preparatory School,ELA,HS United States History,Higher-Ed,Higher-Ed,208,6
Central Florida Preparatory School,History,HS World History,Higher-Ed,Higher-Ed,167,7
Central Florida Preparatory School,Math,HS Geometry,Regular 9–12,Regular 9–12,163,7
Central Florida Preparatory School,ELA,HS English IV,Regular 9–12,Regular 9–12,134,7
Central Florida Preparatory School,ELA,HS English I,Regular 9–12,Regular 9–12,124,5
Central Florida Preparatory School,ELA,HS English II,Regular 9–12,Regular 9–12,107,5
Central Florida Preparatory School,ELA,HS Honors English IV,Higher-Ed,Higher-Ed,105,5
Central Florida Preparatory School,ELA,HS Honors English III,Higher-Ed,Higher-Ed,103,5
Central Florida Preparatory School,Math,HS Alegra II,Higher-Ed,Higher-Ed,96,4
Central Florida Preparatory School,ELA,HS Honors English II,Higher-Ed,Higher-Ed,84,3
Central Florida Preparatory School,ELA,HS English III,Regular 9–12,Regular 9–12,59,4
Central Florida Preparatory School,Math,HS Honors Algebra II,Higher-Ed,Higher-Ed,45,2
Central Florida Preparatory School,ELA,HS Honors Algebra I,Grade 1,Higher-Ed,24,1
Central Florida Preparatory School,Math,HS Honors Algebra I,Higher-Ed,Higher-Ed,23,1
Central Florida Preparatory School,Math,HS Algebra I,Regular 9–12,Higher-Ed,2,1
Crestwell School,ELA,Reading,Grade 4,Grade 4,86,7
Crestwell School,ELA,Reading,Grade 5,Grade 5,33,2
Crestwell School,ELA,Reading,Grade 3,Grade 3,10,1
