issue_class,school,session,item_id,item_name,standard_code,identifier,detail,n_rows
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,SOC.8.SS.8.A.3.12,,description shown in cube_question_summary_overall: Examine the influences of George Washington's presidency in the formation of the new nation.,16
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.912.AR.9.1,,description shown in cube_question_summary_overall: Solve and graph mathematical and real-world problems that are modeled with piecewise functions. Interpret key features a,13
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,SOC.8.SS.8.A.3.15,,"description shown in cube_question_summary_overall: Examine this time period (1763-1815) from the perspective of historically under-represented groups (e.g., children, inde",11
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.2.NSO.2,,"description shown in cube_question_summary_overall: Identify the number that is ten more, ten less, one hundred more and one hundred less than a given three-digit number.",8
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,SOC.6.SS.6.W.3.14,,description shown in cube_question_summary_overall: Analyze the cultural impact the ancient Phoenicians had on the Mediterranean world with regard to colonization (Carthage,8
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,SOC.8.SS.8.A.3.10,,description shown in cube_question_summary_overall: Explain the consequences of the French and Indian War in British policies for the American colonies from 1763 - 1774.,7
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.912.AR.1.1,,description shown in cube_question_summary_overall: <p>Identify and interpret parts of an equation or expression that represent a quantity in terms of a mathematical or rea,7
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.5.NSO.2,,"description shown in cube_question_summary_overall: Divide multi-digit whole numbers, up to five digits by two digits, including using a standard algorithm with procedural ",4
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.5.GR.3,,description shown in cube_question_summary_overall: Find the volume of a right rectangular prism with whole-number side lengths using a visual model and a formula.,2
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,SOC.6.SS.6.W.3.10,,description shown in cube_question_summary_overall: Analyze the cultural impact the ancient Phoenicians had on the Mediterranean world with regard to colonization (Carthage,2
cube_conflicting_description,Athenian Academy of Technology and the Arts,,,,MA.3.AR.3,,"description shown in cube_question_summary_overall: Determine and explain whether a whole number from 1 to 1,000 is even or odd.",1
cube_conflicting_description,Central Florida Preparatory School,,,,MA.912.AR.9.1,,"description shown in cube_question_summary_overall: <p>Given a mathematical or real-world context, write and solve a system of two-variable linear equations algebraically o",16
cube_conflicting_description,Central Florida Preparatory School,,,,SOC.6.SS.6.W.3.14,,"description shown in cube_question_summary_overall: Describe the key achievements and contributions of Roman civilization. 
",14
cube_conflicting_description,Central Florida Preparatory School,,,,SOC.8.SS.8.A.3.10,,"description shown in cube_question_summary_overall: Examine the course and consequences of the Constitutional Convention (e.g., New Jersey Plan, Virginia Plan, Great Compro",4
cube_conflicting_description,Central Florida Preparatory School,,,,MA.5.NSO.2,,"description shown in cube_question_summary_overall: Add and subtract multi-digit numbers with decimals to the thousandths, including using a standard algorithm with procedu",3
cube_conflicting_description,Central Florida Preparatory School,,,,MA.912.AR.1.1,,"description shown in cube_question_summary_overall: Solve mathematical and real-world problems involving addition, subtraction, multiplication or division of rational algeb",2
cube_conflicting_description,Central Florida Preparatory School,,,,SOC.8.SS.8.A.3.12,,description shown in cube_question_summary_overall: Explain the consequences of the French and Indian War in British policies for the American colonies from 1763 - 1774.,2
cube_conflicting_description,Central Florida Preparatory School,,,,SOC.6.SS.6.W.3.10,,"description shown in cube_question_summary_overall: Describe the government of the Roman Republic and its contribution to the development of democratic principles (i.e., se",2
cube_conflicting_description,Central Florida Preparatory School,,,,MA.3.AR.3,,description shown in cube_question_summary_overall: Determine whether a whole number from 1 to 144 is a multiple of a given one-digit number.,1
cube_conflicting_description,Central Florida Preparatory School,,,,SOC.8.SS.8.A.3.15,,description shown in cube_question_summary_overall: Explain the consequences of the French and Indian War in British policies for the American colonies from 1763 - 1774.,1
cube_conflicting_description,Crestwell School,,,,MA.5.NSO.2,,"description shown in cube_question_summary_overall: Add and subtract multi-digit numbers with decimals to the thousandths, including using a standard algorithm with procedu",3
cube_conflicting_description,Crestwell School,,,,MA.2.NSO.2,,"description shown in cube_question_summary_overall: Add two whole numbers with sums up to 100 with procedural reliability. Subtract a whole number from a whole number, each",3
