pattern,school,item_id,item_name,stored_label,stored_grade,correct_subject_dim,correct_grade_dim,session,standards_majority_family,n_rows,standards_sample
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7338034079,Unit 7 Test,(blank),(blank),Civics,Grade 8,2024-25,SocialStudies,1,SOC.7.SS.7.C.3.1 | SOC.7.SS.7.C.3.8 | SOC.7.SS.7.C.4.1 | SOC.7.SS.7.C.4.2 | SOC.7.SS.7.C.4.3 | SS.7.E.3.2
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7338323403,Unit: 3 Civilization in India and China,(blank),(blank),History,Grade 6,2024-25,,1,
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7622185498,M4W2 Vocabulary Quiz,(blank),(blank),ELA,Grade 5,2024-25,,9,
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7627000905,Comparing Numbers Review HW,(blank),(blank),Math,Grade 1,2024-25,,8,
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7629339742,Plant Needs 'Genius Challenge',(blank),(blank),Science,Grade 1,2024-25,,7,
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,(blank),(blank),Algebra,Grade 8,2024-25,Math,1,AI.MA.912.AR.2.7 | AI.MA.912.AR.2.8 | AI.MA.912.AR.9.1 | AI.MA.912.AR.9.6 | MA.8.MAFS.8.EE.3.8.a | MA.8.MAFS.8.EE.3.8.b | MA.912.AR.2.8 | MA.912.AR.9.1 | MA.912.AR.9.6 | MA.9-12.MAFS.912.A-REI.3.6
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7892348517,What is the Horror Genre? Selection Test,(blank),(blank),ELA,Grade 8,2025-26,ELA,1,ELA.8.C.3.1 | ELA.8.R.2.2 | ELA.8.R.2.3 | ELA.8.R.3.2 | ELA.8.V.1.2
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7892360959,Unit: 3 Civilization in India and China,(blank),(blank),History,Grade 6,2025-26,SocialStudies,2,SOC.6.SS.6.G.2.5 | SOC.6.SS.6.W.1.1 | SOC.6.SS.6.W.2.4 | SOC.6.SS.6.W.4.1 | SOC.6.SS.6.W.4.10 | SOC.6.SS.6.W.4.2 | SOC.6.SS.6.W.4.3 | SOC.6.SS.6.W.4.4 | SOC.6.SS.6.W.4.6 | SOC.6.SS.6.W.4.7 | SOC.6.SS.6.W.4.8 | SOC.6.SS.6.W.4.9 | SS.6.G.2.3 | SS.6.G.2.6 | SS.6.G.3.1 | SS.6.G.4.4
cube_blank_subject_label,Athenian Academy of Technology and the Arts,7893463050,Module 2 Test,(blank),(blank),Math,Grade 6,2025-26,Math,1,MA.6.NSO.4.1 | MA.6.NSO.4.2
cube_blank_subject_label,Athenian Academy of Technology and the Arts,8029075718,Module 2 Test,(blank),(blank),Math,Grade 6,2025-26,Math,1,MA.6.NSO.4.1 | MA.6.NSO.4.2
cube_blank_subject_label,Central Florida Preparatory School,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,(blank),Grade 2,ELA,Grade 2,2024-25,ELA,3,ELA.2.R.3.1 | ELA.2.V.1.2 | ELA.2.V.1.3
cube_blank_subject_label,Crestwell School,7928764338,Chapter 16 Test: Fraction Concepts,(blank),(blank),Math,Grade 2,2025-26,Math,2,MA.2.FR.1.1 | MA.2.FR.1.2
cube_blank_subject_label,Crestwell School,7935427513,Chapter 16 Test: Define Two-Dimensional Shapes,(blank),(blank),Math,Grade 3,2025-26,Math,2,MA.3.GR.1.1 | MA.3.GR.1.2
cube_blank_subject_label,Crestwell School,8029128083,Module Assessment: Nice to Meet You!,(blank),(blank),Reading,Grade 1,2025-26,ELA,1,ELA.1.C.3.1 | ELA.1.F.1.3.c | ELA.1.F.1.3.d | ELA.1.F.1.4.a | ELA.1.R.2.2 | ELA.1.R.3.2.a | ELA.1.V.1.1 | ELA.1.V.1.2 | ELA.1.V.1.3
cube_blank_subject_label,Crestwell School,8261137849,Module Assessment: I Can Do It!,(blank),(blank),Reading,Grade K,2025-26,ELA,1,ELA.K.F.1.3.c | ELA.K.F.1.4 | ELA.K.R.1.1
