item_id,item_name,section_name,subject,grade,session,assessment_type,students,pattern,reason,scope
8016559819,Quiz 2,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,30,duplicate-name-collision,"Three DIFFERENT Civics quizzes (Sep=government, Nov=party systems, Feb=currency/credit) all named Quiz 2 in 2nd Period; merged report pools them: 83 students for ~30-student class, mixed question sets",in-chunk
8016572178,Quiz 2,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,37,duplicate-name-collision,Two different History Gr6 quizzes named Quiz 2 in 3rd Period (Sep vs Nov); pooled into one merged report,in-chunk
8030688955,Quiz 3,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,38,duplicate-name-collision,Two different History Gr6 quizzes named Quiz 3 in 3rd Period (Sep vs Dec); pooled into one merged report,in-chunk
8030945538,Quiz 3,5th Period,History,Grade 7,2025-26,Lesson  Assessments,24,duplicate-name-collision,Two different History Gr7 quizzes named Quiz 3 in 5th Period (Sep 5q vs Feb 19q); pooled into one merged report,in-chunk
8126215170,Quiz 2,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,26,duplicate-name-collision,"Three DIFFERENT Civics quizzes (Sep=government, Nov=party systems, Feb=currency/credit) all named Quiz 2 in 2nd Period; merged report pools them: 83 students for ~30-student class, mixed question sets",sibling-outside-chunk
8126265514,Quiz 2,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,38,duplicate-name-collision,Two different History Gr6 quizzes named Quiz 2 in 3rd Period (Sep vs Nov); pooled into one merged report,sibling-outside-chunk
8149807504,Quiz 3,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,35,duplicate-name-collision,Two different History Gr6 quizzes named Quiz 3 in 3rd Period (Sep vs Dec); pooled into one merged report,sibling-outside-chunk
8257435517,Quiz 2,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,27,duplicate-name-collision,"Three DIFFERENT Civics quizzes (Sep=government, Nov=party systems, Feb=currency/credit) all named Quiz 2 in 2nd Period; merged report pools them: 83 students for ~30-student class, mixed question sets",sibling-outside-chunk
8264918425,Quiz 3,5th Period,History,Grade 7,2025-26,Lesson  Assessments,22,duplicate-name-collision,Two different History Gr7 quizzes named Quiz 3 in 5th Period (Sep 5q vs Feb 19q); pooled into one merged report,sibling-outside-chunk
7893463050,Module 2 Test,4th Period,Math,Grade 6,2025-26,Lesson  Assessments,18,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
7893465110,Module 1 Test,2nd Period,Math,Grade 7,2025-26,Lesson  Assessments,27,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
7961702243,Module 1 Week 1 Vocabulary,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,19,duplicate-readministration,Makeup copy: Emily Aquhart present in both 19-student item (8/29) and her own 1-student same-name copy (9/4); double-counted in merged report,in-chunk
7976307449,Module 2 Test,5th Period,Math,Grade 6,2025-26,Lesson  Assessments,19,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
8016288394,Module 1 Week 1 Vocabulary,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,1,duplicate-readministration,Makeup copy: Emily Aquhart present in both 19-student item (8/29) and her own 1-student same-name copy (9/4); double-counted in merged report,in-chunk
8020987135,Module 1 Test,2nd Period,Math,Grade 7,2025-26,Lesson  Assessments,27,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
8029075718,Module 2 Test,4th Period,Math,Grade 6,2025-26,Lesson  Assessments,19,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
8029075977,Module 2 Test,5th Period,Math,Grade 6,2025-26,Lesson  Assessments,19,duplicate-readministration,Same-name test given twice to the same roster days apart in same section; merge-by-subject_id pools both administrations: doubled Total Students + blended per-question scores,in-chunk
7797146594,Inspired by Nature Unit Test,3rd Period,ELA,Grade 7,2024-25,Lesson Assessments,30,split-assessment-type-variant,"Inspired by Nature Unit Test (ELA Gr7 2024-25): SAME item_id split across assessment_type=Lesson Assessments single-space (29 students) and Lesson  Assessments double-space (1 student, Skylah Woodard, not in main bucket); two slicer buckets, canonical bucket shows misleading 1-student report (out-of-chunk discovery)",sibling-outside-chunk
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Watkins,ELA,Grade 1,2024-25,Test,19,split-assessment-wrong-grade-and-type,Happy Healthy Me Wk1 2024-25 Sec 1 filed under ELA/Grade 1/type=Test while Sec 2+3 are ELA/Grade K/Lesson  Assessments; 15/19 students are Grade 1 in 2025-26 proving they were K; section orphaned from merged K report + phantom Grade-1 Test slicer bucket (out-of-chunk discovery),sibling-outside-chunk
7961702243,Module 1 Week 1 Vocabulary,Lenhart,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
7973108537,M1W1 Vocab Quiz,Rivera,ELA,Grade 5,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
7983138821,Unit 1 Lesson 1 Quiz,Almendinger,Science,Grade 1,2025-26,Lesson  Assessments,21,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
7986398991,Module 1 Week 1 Vocabulary,Farrell,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
7998507820,CW - M1W1 Vocabulary Quiz,Vaughn,ELA,Grade 3,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8000145024,M1W1 Vocab Quiz,Birdwell,ELA,Grade 5,2025-26,Lesson  Assessments,18,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002444006,Module 1 Week 1 Vocabulary,Agostino,ELA,Grade 2,2025-26,Lesson  Assessments,19,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002495741,M1W1 Critical Vocabulary Quiz (8/29),Bagley,ELA,Grade 4,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002526684,Quiz #1,5th Period,History,Grade 7,2025-26,Lesson  Assessments,27,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002533977,Quiz #1,2nd Period,Civics,Grade 8,2025-26,Lesson  Assessments,29,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002545344,Quiz #1,3rd Period,History,Grade 6,2025-26,Lesson  Assessments,37,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002561096,Unit 1 Lesson 1 Quiz,Reeder,Science,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
8002668697,Unit 1 Lesson 1 Quiz,Sedlak,Science,Grade 1,2025-26,Lesson  Assessments,20,standards-gap,No standards mapped on any fact row for this item; invisible in standards/strand reports (absence alone is not misfiling proof),in-chunk
