item_id,item_name,section,label_subject,label_grade,flag,reason
7616266129,Inherited Traits 'Genius Challenge',Sedlak,Algebra,Grade 8,wrong-subject+wrong-grade,Grade-1 Science quiz (course 204545174 = Science 1st; Sec2 twin 7607478150 is Science/Grade 1) filed under Algebra/Grade 8; Sedlak section missing from Science Gr1 report
7626085761,Plant Needs 'Genius Challenge',Sedlak,Algebra,Grade 8,wrong-subject+wrong-grade,Grade-1 Science quiz (course Science 1st; twins 7629339215/7629339742 are Science/Grade 1) filed under Algebra/Grade 8
7626416439,HW 12/9 Spiral Review,2nd Period,Math,Grade 5,wrong-grade+cross-course-merge,"Section belongs to MJ Mathematics 2 (course 204555360, all other 31 items Grade 7); standards MA.6/MA.7; labeled Grade 5; shares subject_id d8eef269 with Grade-6 course item 7626433775 -> merged report blends two courses"
7626433775,HW 12/9 Spiral Review,4th Period,Math,Grade 5,wrong-grade+cross-course-merge,"Section belongs to MJ Mathematics 1 (course 204490852, all other 55 items Grade 6); standards MA.6/MA.7/MA.8; labeled Grade 5; blended with Grade-7 course item in one bucket"
7628347421,HW 12/10 Spiral Review,4th Period,Math,Grade 5,wrong-grade+cross-course-merge,MJ Mathematics 1 (Grade 6 course); labeled Grade 5; shares subject_id c0b013cc with 7628391502 (Grade-7 course)
7628391502,HW 12/10 Spiral Review,2nd Period,Math,Grade 5,wrong-grade+cross-course-merge,MJ Mathematics 2 (Grade 7 course); labeled Grade 5; blended with Grade-6 course item in one bucket
7688267137,Quarter 3 Quiz 2,3rd Period,History,Grade 6,duplicate-name-blend,"Two distinct quizzes named Quarter 3 Quiz 2 for same class: this one Jan 24-27, qids 21094006xx; shares subject_id 91a49954 with 7700976328 -> cube has 2 question_ids per question_no 1-5; 25 students overlap"
7700976328,Quarter 3 Quiz 2,3rd Period,History,Grade 6,duplicate-name-blend,"Second quiz Jan 31-Feb 10, qids 21125206xx, disjoint from twin; merged report blends both question sets per question_no"
7661450427,Chapter 15,Sedlak,Math,Grade 1,split-assessment-type,Same-name group split: Sedlak+Almendinger typed Assessments (bucket f5de920b) vs Reeder Lesson Assessments (bucket cb9f0163)
7661451536,Chapter 15,Reeder,Math,Grade 1,split-assessment-type,Minority type Lesson Assessments -> own bucket; report shows Chapter 15 twice each with partial sections
7661452062,Chapter 15,Almendinger,Math,Grade 1,split-assessment-type,In Assessments bucket with Sedlak
7661454577,Chapter 9,Agostino,Math,Grade 2,split-assessment-type,Lesson Assessments bucket 58978d1d with Farrell
7661454920,Chapter 9,Lenhart,Math,Grade 2,split-assessment-type,"Minority type Assessments -> own bucket 4b9bbdd8, split from Agostino+Farrell"
7661455143,Chapter 9,Farrell,Math,Grade 2,split-assessment-type,Lesson Assessments bucket with Agostino
7687663888,Chapter 12,Agostino,Math,Grade 2,split-assessment-type,Assessments type vs Lenhart Lesson Assessments -> 2 buckets for same-name Chapter 12 Gr2
7687678078,Chapter 12,Lenhart,Math,Grade 2,split-assessment-type,Lesson Assessments minority -> split bucket
7687689604,Chapter 12,Farrell,Math,Grade 2,split-assessment-type,Assessments bucket with Agostino
7687592490,M5M1Vocabulary Quiz,Vaughn,ELA,Grade 3,split-assessment-type,Assessments bucket 2b32b5a1 with Leiva
7688416594,M5M1Vocabulary Quiz,Leiva,ELA,Grade 3,split-assessment-type,Assessments bucket with Vaughn
7689301066,M5M1Vocabulary Quiz,Rossi,ELA,Grade 3,split-assessment-type,"Minority type Lesson Assessments -> own bucket 79aef2dd, split from Vaughn+Leiva"
7624643503,12/9 Reading Classwork,Baclohan,ELA,Grade 4,tiny-fragment-low-suspicion,"Only 1 student (Levi Sperna, 5 rows, 2024-12-12) vs sibling section item 7625528258 with 18 students; no twin bucket/cross-band remnant signature found -> possibly genuine low participation"
