item_id,item_name,section_name,subject,grade,assessment_type,students,questions,issue,detail
8362776921,Topic 8,HS ALG I - 7th,HS Algebra I,Regular 9–12,topic,17,18,cross-band-phantom-remnant,"33 fact rows carry grade='Higher-Ed' and section='Sec HS US HIST - 4th' (a different course) for 1 user (Brock Smith) at 0.0% while 16 real students sit under Regular 9–12; orphan dim_subject 38fa194a… (HS Algebra I/Higher-Ed/Topic 8) referenced by 0 dim_items but present as 2 phantom rows in cube_question_summary → phantom 1-student/0% report entry; matches known latest_export cross-band prune bug"
8352494723,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE),MS 06 WH - 3rd A,History,Grade 6,Summative,19,20,assessment-type-split,"sibling section 2nd B (8352495237) is typed 'topic' → two subject_ids (9777089f… vs 96023160…) so the same assessment renders as two separate reports and each section vanishes under the other assessment_type filter; this item's fact section string is also the alternate format 'MS 06 World History  MS 06 WH - 3rd A' (different export variant = likely root cause)"
8352495237,Topic 9: Civilizations of East Asia and Southeast Asia (250 BCE - 1644 CE),MS 06 WH - 2nd B,History,Grade 6,topic,21,20,assessment-type-split,"counterpart of 8352494723; typed 'topic' while 3rd A is 'Summative'"
8273818985,Topic 6: New Global Connections (1415?1796),HS WH - 5th,HS World History,Higher-Ed,Summative,13,20,assessment-type-outlier,"only item in the HS WH topic series typed 'Summative' (Topics 7,8,9,10 = 'topic'); single-section so no split, but files under the wrong assessment_type slicer bucket; name also contains mojibake '?' for en-dash"
8360405752,"Imagine! Invent!, Module 8 Weekly Assessment: Week 1",03 LA - A,ELA,Grade 3,Summative,18,9,item-name-divergence-split,"section B twin (8360405769) named 'Imagine! Invent!, Weekly Assessment: Mod 8 Week 1' → different subject_ids (39a0ec9c… vs a8cec70c…) so the same weekly test shows as TWO reports while every other 03 LA weekly merges A+B into one"
8360405769,"Imagine! Invent!, Weekly Assessment: Mod 8 Week 1",03 LA - B,ELA,Grade 3,Summative,18,9,item-name-divergence-split,"counterpart of 8360405752; name word-order differs from section A"
8273239519,The Big Outdoors: Mod 7 Weekly Assessment: Week 1,01 LA - D,ELA,Grade 1,Summative,16,8,section-string-format-anomaly,"all 128 fact rows carry section='01 Language Arts 01 LA - D' while sibling sections A/B/C use 'Sec 01 LA - X' → inconsistent section label inside the merged 4-section report and section filters"
8272404145,Topic 4: Earth's Surface Systems,MS 06 EARTH SPACE SCI - 5th B,Science,Grade 6,topic,16,15,standards-gap,"zero standards mapped on any of 15 questions (only standards-free item group in this 234-item chunk) → invisible in standards/strand reports"
8272404615,Topic 4: Earth's Surface Systems,MS 06 EARTH SPACE SCI - 7th A,Science,Grade 6,topic,24,15,standards-gap,"zero standards mapped on any of 15 questions"
8332619471,Topic 7,HS GEOM - 3rd,HS Geometry,Regular 9–12,topic,3,17,tiny-cohort-fragment,"only 3 of the ~15 course students (avg 23.1%) on 2026-04-02..03 while Topic 5 (Feb 26)=15 and Topic 8 (Apr 9-10)=15 students; single item, single band, no twin found → either genuine low participation or partial export; needs school confirmation"
8355591256,Topic 9,HS GEOM - 3rd,HS Geometry,Regular 9–12,topic,1,12,tiny-cohort-fragment,"only 1 of ~15 course students (61.5%) on 2026-04-20; no cross-band rows and no twin item → suspicious single-taker report"
8273239461,The Big Outdoors: Mod 7 Weekly Assessment: Week 1,01 LA - A,ELA,Grade 1,Summative,15,8,teacher-name-duality,"section_instructors='Natalie Housen Edwards, Alexis Tillman'; later items of same section use 'Natalie McKenzie' → same teacher split into two names in By-Teacher views (confirmed both variants live in cube_question_summary)"
8273490708,Chapter 11 Test: Geometry: Three-Dimensional Solids,01 MTH - A,Math,Grade 1,Summative,17,8,teacher-name-duality,"Natalie Housen Edwards variant (01 MTH - A)"
8331599999,Chapter 12 Test: Geometry: Two-Dimensional Shapes,01 MTH - A,Math,Grade 1,Summative,17,8,teacher-name-duality,"Natalie Housen Edwards variant (01 MTH - A)"
8333789640,The Big Outdoors: Mod 7 Weekly Assessment: Week 2,01 LA - A,ELA,Grade 1,Summative,16,7,teacher-name-duality,"Natalie Housen Edwards variant (01 LA - A)"
8337186737,The Big Outdoors: Module 7 Assessment,01 LA - A,ELA,Grade 1,Summative,16,19,teacher-name-duality,"Natalie McKenzie variant (01 LA - A)"
8349556979,Chapter 13 Test: Fraction Concepts,01 MTH - A,Math,Grade 1,Summative,17,8,teacher-name-duality,"Natalie McKenzie variant (01 MTH - A)"
8349740857,Module 8: Tell Me a Story Weekly Assessment: Week 1,01 LA - A,ELA,Grade 1,Summative,16,8,teacher-name-duality,"Natalie McKenzie variant (01 LA - A)"
8357768566,Chapter 14 Test: Measurement,01 MTH - A,Math,Grade 1,Summative,17,8,teacher-name-duality,"Natalie McKenzie variant (01 MTH - A)"
8362242422,Module 8: Tell Me a Story Weekly Assessment: Week 2,01 LA - A,ELA,Grade 1,Summative,16,7,teacher-name-duality,"Natalie McKenzie variant (01 LA - A)"
8362343085,Chapter 15 Test: Time,01 MTH - A,Math,Grade 1,Summative,17,8,teacher-name-duality,"Natalie McKenzie variant (01 MTH - A)"
8385621887,Tell Me a Story: Module 8 Assessment,01 LA - A,ELA,Grade 1,Summative,16,24,teacher-name-duality,"Natalie McKenzie variant (01 LA - A)"
8341726127,Topic 8: The Industrial Revolution (1750?1914),HS WH - 5th,HS World History,Higher-Ed,topic,13,20,name-mojibake,"en-dash rendered as '?' in item_name; sibling topics in same series (e.g. 8368439603 '1945–1968') have the correct en-dash"
8347031150,Topic 8: Postwar America (1945?1960),HS US HIST - 4th,HS United States History,Higher-Ed,topic,17,20,name-mojibake,"en-dash rendered as '?' in item_name"
8286339438,Topic 4,HS ALG II - 1st,HS Alegra II,Higher-Ed,topic,8,19,subject-label-typo,"dim_subject label 'HS Alegra II' misspelled (should be 'HS Algebra II'); visible in subject slicer"
8330395855,Topic 5,HS ALG II - 1st,HS Alegra II,Higher-Ed,topic,8,22,subject-label-typo,"dim_subject label 'HS Alegra II' misspelled"
8330780174,Lead the Way: Module 5 Assesment,02 LA - B,ELA,Grade 2,Summative,14,26,name-misspelling,"'Assesment' misspelled in item_name (source-faithful)"
8330782410,Lead the Way: Module 5 Assesment,02 LA - C,ELA,Grade 2,Summative,14,26,name-misspelling,"'Assesment' misspelled"
8330800483,Lead the Way: Module 5 Assesment,02 LA - A,ELA,Grade 2,Summative,15,26,name-misspelling,"'Assesment' misspelled"
8349685421,Weather Wise: Module 6 Assesment,02 LA - A,ELA,Grade 2,Summative,15,22,name-misspelling,"'Assesment' misspelled"
8349685437,Weather Wise: Module 6 Assesment,02 LA - B,ELA,Grade 2,Summative,13,22,name-misspelling,"'Assesment' misspelled"
8349685455,Weather Wise: Module 6 Assesment,02 LA - C,ELA,Grade 2,Summative,14,22,name-misspelling,"'Assesment' misspelled"
8362299752,"Imagine! Invent!, Weekly Assessment: Week 2",03 LA - A,ELA,Grade 3,Summative,18,9,name-series-inconsistency,"Week 2 name drops 'Mod 8' vs series convention; consistent across A/B (same subject_id 6452e369…) so no split — cosmetic only"
8362299771,"Imagine! Invent!, Weekly Assessment: Week 2",03 LA - B,ELA,Grade 3,Summative,18,9,name-series-inconsistency,"cosmetic; same subject_id as section A"
