school_name,item_id,item_name,subject,grade,entity_strand,fact_rows_for_item_strand
Athenian Academy of Technology and the Arts,7338204663,Module 3 Test,Math,Grade 6,Expressions &amp; Equations,149
Athenian Academy of Technology and the Arts,7338206076,Module 1 Test,Math,Grade 7,Expressions &amp; Equations,32
Athenian Academy of Technology and the Arts,7338206076,Module 1 Test,Math,Grade 7,Ratios &amp; Proportional Relationships,1493
Athenian Academy of Technology and the Arts,7338206081,Module 2 Test,Math,Grade 7,Ratios &amp; Proportional Relationships,930
Athenian Academy of Technology and the Arts,7338206081,Module 2 Test,Math,Grade 7,Statistics &amp; Probability,124
Athenian Academy of Technology and the Arts,7338206087,Module 3 Test,Math,Grade 7,Ratios &amp; Proportional Relationships,1024
Athenian Academy of Technology and the Arts,7338206105,Module 5 Test,Math,Grade 7,Expressions &amp; Equations,404
Athenian Academy of Technology and the Arts,7503402943,Chapter 2 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,57
Athenian Academy of Technology and the Arts,7570315981,Chapter 3 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,209
Athenian Academy of Technology and the Arts,7619615379,HW 12/4 8.2,Math,Grade 6,Ratios &amp; Proportional Relationships,256
Athenian Academy of Technology and the Arts,7619625033,HW 12/4 7.2 - 7.3,Math,Grade 7,Expressions &amp; Equations,426
Athenian Academy of Technology and the Arts,7623314096,HW 12/6,Math,Grade 7,Expressions &amp; Equations,385
Athenian Academy of Technology and the Arts,7626416439,HW 12/9 Spiral Review,Math,Grade 5,Expressions &amp; Equations,123
Athenian Academy of Technology and the Arts,7626416439,HW 12/9 Spiral Review,Math,Grade 5,Ratios &amp; Proportional Relationships,171
Athenian Academy of Technology and the Arts,7628347421,HW 12/10 Spiral Review,Math,Grade 5,Ratios &amp; Proportional Relationships,162
Athenian Academy of Technology and the Arts,7628391502,HW 12/10 Spiral Review,Math,Grade 5,Ratios &amp; Proportional Relationships,868
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,95
Athenian Academy of Technology and the Arts,7669808106,Chapter 5 Test,Algebra,Grade 8,Expressions &amp; Equations,114
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,"Functions: Linear, Quadratic, &amp; Exponential Models",18
Athenian Academy of Technology and the Arts,7708642601,Chapter 6 Test,Algebra,Grade 8,Number &amp; Quantity: The Real Number System,90
Athenian Academy of Technology and the Arts,7722564422,Chapter 7 Quiz 7.1-7.2,Algebra,Grade 8,Algebra: Arithmetic with Polynomials &amp; Rational Expressions,72
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,Algebra: Arithmetic with Polynomials &amp; Rational Expressions,108
Athenian Academy of Technology and the Arts,7747912472,Chapter 7 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,36
Athenian Academy of Technology and the Arts,7750464573,3/6 POP Quiz Module 11,Math,Grade 7,Statistics &amp; Probability,62
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,Algebra: Arithmetic with Polynomials &amp; Rational Expressions,52
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,"Functions: Linear, Quadratic, &amp; Exponential Models",202
Athenian Academy of Technology and the Arts,7801021169,HW 4/11 Chapter 8 Review,Algebra,Grade 8,Statistics &amp; Probability: Interpreting Categorical &amp; Quantitative Data,101
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,Algebra: Arithmetic with Polynomials &amp; Rational Expressions,48
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,128
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,"Functions: Linear, Quadratic, &amp; Exponential Models",272
Athenian Academy of Technology and the Arts,7802303138,Chapter 8 Test,Algebra,Grade 8,Statistics &amp; Probability: Interpreting Categorical &amp; Quantitative Data,144
Athenian Academy of Technology and the Arts,8122018182,Chapter 4 Practice Test #3,Algebra,Grade 8,Statistics &amp; Probability: Interpreting Categorical &amp; Quantitative Data,35
Athenian Academy of Technology and the Arts,8122682301,Chapter 4 Test,Algebra,Grade 8,"Functions: Linear, Quadratic, &amp; Exponential Models",103
Athenian Academy of Technology and the Arts,8207294812,Module 8 Test,Math,Grade 7,Expressions &amp; Equations,25
Athenian Academy of Technology and the Arts,8214008832,Module 10 Mid-Chapter Quiz,Math,Grade 6,Expressions &amp; Equations,54
Athenian Academy of Technology and the Arts,8214117785,Module 10 Mid-Chapter Quiz,Math,Grade 6,Expressions &amp; Equations,54
Athenian Academy of Technology and the Arts,8292007827,Module 14 Test,Math,Grade 6,Statistics &amp; Probability,760
Athenian Academy of Technology and the Arts,8292007847,Module 14 Test,Math,Grade 6,Statistics &amp; Probability,886
Athenian Academy of Technology and the Arts,8325672466,Module 15 Test,Math,Grade 6,Statistics &amp; Probability,1115
Athenian Academy of Technology and the Arts,8325672509,Module 15 Test,Math,Grade 6,Statistics &amp; Probability,1312
Athenian Academy of Technology and the Arts,8327325520,Spiral Review Test #1,Math,Grade 7,Expressions &amp; Equations,48
Athenian Academy of Technology and the Arts,8327325520,Spiral Review Test #1,Math,Grade 7,Ratios &amp; Proportional Relationships,96
Athenian Academy of Technology and the Arts,8327325520,Spiral Review Test #1,Math,Grade 7,Statistics &amp; Probability,144
Athenian Academy of Technology and the Arts,8343031143,Chapter 9 Mid-Chapter Quiz,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,108
Athenian Academy of Technology and the Arts,8343031143,Chapter 9 Mid-Chapter Quiz,Algebra,Grade 8,Number &amp; Quantity: Quantities,108
Athenian Academy of Technology and the Arts,8343031143,Chapter 9 Mid-Chapter Quiz,Algebra,Grade 8,Number &amp; Quantity: The Real Number System,108
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,Algebra: Reasoning with Equations &amp; Inequalities,81
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,Number &amp; Quantity: Quantities,54
Athenian Academy of Technology and the Arts,8359960427,Chapter 9 Test,Algebra,Grade 8,Number &amp; Quantity: The Real Number System,54
Athenian Academy of Technology and the Arts,8374535217,Chapter 10 Test,Algebra,Grade 8,Statistics &amp; Probability: Interpreting Categorical &amp; Quantitative Data,600
