school_id,kind,item_name,item_a,item_b,nq,shared_students,subjects,grade_pairs,type_pairs,any_cross_grade,any_cross_session
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Module 1 Test,7893465110,8020987135,25,27,Math,Grade 7~Grade 7,Lesson  Assessments~Lesson  Assessments,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 2 Benchmark Test: The Engineering Process,7803821108,7815809064,20,5,Science,Grade 3~Grade 3,Lesson  Assessments~Lesson  Assessments,f,f
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,My Community Heroes: Weekly Assessment: Week 1,7337899656,7892344278,5,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,My Community Heroes: Weekly Assessment: Week 3,7337898944,7892345743,8,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,My Community Heroes: Weekly Assessment: Week 3,7337898944,7892345933,8,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,My Community Heroes: Weekly Assessment: Week 3,7337899701,7892344280,8,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 4 Benchmark Test: Day and Night,7466000203,7892353993,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 4 Benchmark Test: Day and Night,7466000203,7892354339,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 4 Benchmark Test: Day and Night,7466003803,7892353575,10,2,Science,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,There's Only One Me!: Weekly Assessment: Week 3,7337898884,7892345737,14,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,There's Only One Me!: Weekly Assessment: Week 3,7337898884,7892345928,14,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,There's Only One Me!: Weekly Assessment: Week 3,7337899605,7892344275,14,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 1 Benchmark Test: Doing Science,7466000200,7892354336,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 1 Benchmark Test: Doing Science,7466000200,8012076652,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 1 Benchmark Test: Doing Science,7466003796,7892353558,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Curious About Kindergarten: Weekly Assessment: Week 2,7337898802,7892345922,10,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 1,7337898999,7892345746,5,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Module Assessment: Happy Healthy Me,7337899019,7892345942,14,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 1,7337898999,7892345938,5,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 1,7337899755,7892344283,5,2,ELA,Grade 1~Grade K,Test~Lesson  Assessments,t,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 2,7337899005,7892345750,5,2,ELA,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 2,7337899005,7892345939,5,2,ELA,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 2 Benchmark Test: Animals,7466000201,7892353987,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Unit 2 Benchmark Test: Animals,7466000201,7892354337,10,2,Science,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 2,7337899764,7892344284,5,2,ELA,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Module Assessment: My Community Heroes,7337898982,7892345745,15,2,ELA,Grade K~Grade K,Unit-Chap  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Module Assessment: My Community Heroes,7337898982,7892345937,15,2,ELA,Grade K~Grade K,Unit-Chap  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Module Assessment: My Community Heroes,7337899738,7892344282,15,2,ELA,Grade K~Grade K,Unit-Chap  Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 3,7337899008,7892345752,5,2,ELA,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 3,7337899008,7892345940,5,2,ELA,Grade K~Grade K,Assessments~Lesson  Assessments,f,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Happy Healthy Me: Weekly Assessment: Week 3,7337899774,7892344285,5,2,ELA,Grade 1~Grade K,Unit-Chap  Assessments~Lesson  Assessments,t,t
019eb11c-410a-7ffb-86e6-a0294c669670,cross-item,Curious About Kindergarten: Weekly Assessment: Week 2,7337899482,7892344217,10,2,ELA,Grade K~Grade K,Lesson  Assessments~Lesson  Assessments,f,t
