school,group_type,group_key,item_name,item_ids,labels,dup_students,content_match_frac
Athenian,A_same_item_multi_bucket,7687741861,Chapter 12,7687741861,2024-25|Grade K|Math|Assessments ;; 2024-25|Grade K|Math|Lesson  Assessments,2,
Athenian,C_subjectid_content_twin,603d006f92629c6f8fce48b66025690479bce498d145703d3c2056b9cd136a5f,Chapter 6 Perimeter and Area,7337971335+7594905336,2024-25|Grade 4|Math|Lesson  Assessments,1,0.83
Athenian,C_subjectid_content_twin,857388eb9782cb84e3ba428355d4ed21ffa6ff13ca1d9680d790e0f8526770b1,Everyone Has a Story: Weekly Assessment: Week 3,7334679836+7799429732,2024-25|Grade 2|ELA|Lesson  Assessments,1,1.00
Athenian,C_subjectid_content_twin,20d229c8a84f9ff9526d11f656ae185ed8f29327b1f9b287b0c962d775c4ba1a,Module 1 Test,7893465110+8020987135,2025-26|Grade 7|Math|Lesson  Assessments,27,1.00
Athenian,C_subjectid_content_twin,039892d5e5d88c0af534eb10f47c9084776173dec876b4848c6976c9e0ff212a,Module 1 Week 1 Vocabulary,7961702243+8016288394,2025-26|Grade 2|ELA|Lesson  Assessments,1,1.00
Athenian,C_subjectid_content_twin,6780c048e06be9216eb57455a03605d483a01a5e5f093e246c67387aa4a2b5f6,Module 2 Test,7893463050+8029075718 / 7976307449+8029075977,2025-26|Grade 6|Math|Lesson  Assessments,37,0.75
Athenian,C_subjectid_content_twin,d45c467f4a18d97e6709a10a950e69b00a3a5deba62e824abfdbf371e43f65d9,Module 5 Test,8029075760+8029076040,2025-26|Grade 6|Math|Lesson  Assessments,1,1.00
Athenian,C_subjectid_content_twin,5bfc82013b6db65ee33476288a68e8b812319e155159d04c4b5f082854b23e9f,Unit 2 Benchmark Test: The Engineering Process,7803821108+7815809064,2024-25|Grade 3|Science|Lesson  Assessments,5,1.00
CFP,C_subjectid_content_twin,4d316254551ba9aba2ecf0fb22d486d467c7715696fcd6d84f1937d77a9f2ffe,Chapter 1 Test: Whole Number Place Value,7999771774+8018786737,2025-26|Grade 4|Math|Summative,2,0.93
CFP,C_subjectid_content_twin,cc44b5e165aa48283a799fd17091373f70d7d5427a0d85b168b8a49173443163,Module 2 Assessment: Come to Your Senses,8088499478+8092034736,2025-26|Grade 4|ELA|Summative,1,1.00
Crestwell,B_cross_grade_item_twin,crestwell_ch1_twin,Chapter 1 Test: Counting and Number Sense,"7610639442,7610639551,7841245375",2024-25|Grade 1|Math|Chap Test ;; 2024-25|Grade 2|Math|2 sectionsAll Sections ;; 2025-26|Grade 1|Math|Summative,4,1.0
Crestwell,A_same_item_multi_bucket,7929054690,What Makes Us Who We Are?: Weekly Assessment: Week 2,7929054690,2025-26|Grade 4|Reading|Summative ;; 2025-26|Grade 4|Reading|Weekly Test,2,
Athenian,X_excluded_generic_name_collision,91a4995428eb2f83d25b5d39584adadb98d8f4867ce0b1c9e85d56b4238cabb2,Quarter 3 Quiz 2,7688267137+7700976328,2024-25|Grade 6|History|Lesson  Assessments,25,0.00
Athenian,X_excluded_generic_name_collision,9164b0363acacf5ae93651a11b9e0201d67d311f7394649e0bea9773bac504e4,Quarter 3 Quiz 3,7688207641+7722457831,2024-25|Grade 7|History|Lesson  Assessments,23,0.00
Athenian,X_excluded_generic_name_collision,09158d653550f64e6075248264d514e122b45310f045e086457b46a9ac56a88b,Quiz 2,8016559819+8126215170 / 8016559819+8257435517 / 8126215170+8257435517,2025-26|Grade 8|Civics|Lesson  Assessments,29,0.00
Athenian,X_excluded_generic_name_collision,cbd4764f8195a59d3fa3d3ebb30f0a756bd67310439307ee56d809efc21ab957,Quiz 2,8016572178+8126265514,2025-26|Grade 6|History|Lesson  Assessments,35,0.00
Athenian,X_excluded_generic_name_collision,5a9fa1a8c87e135688043a91b1f7214a858b8e1e411fc752224d1bada526347b,Quiz 2,8126292235+8257448535,2025-26|Grade 7|History|Lesson  Assessments,22,0.00
Athenian,X_excluded_generic_name_collision,8d7b3976254ac1464e4868dd38bc88cbe163216de2d29ff9606c0a037e06a4eb,Quiz 3,8030688955+8149807504,2025-26|Grade 6|History|Lesson  Assessments,34,0.00
Athenian,X_excluded_generic_name_collision,8506a90a47cfda79d67ff82c7e1a8b0a4012bbd813fcad071606aa311bd78b3f,Quiz 3,8030945538+8264918425,2025-26|Grade 7|History|Lesson  Assessments,19,0.00
CFP,X_excluded_generic_name_collision,94ef70e13242cc4d065e2b31234f267793f6de1431e908fe59efc635520d37cc,Topic 2,8095123435+8108245298,2025-26|Grade 7|Math|topic,1,0.00
