Cognitive_Complexity_Rating,Direct_Link,Grader,Identifier,Language,Schoology_Standard,Standard_New,Strand,Subject,cPalms_Standard,cluster,description,lastChangeDateTime,rundate,Custom.CleanedDescription,uniquesID
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Kindergarten,11cc2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.K.H.2.1,1,Historical and Global Connections,Visual Art,H.2.1,"The arts reflect and document cultural trends and historical events, and help explain how new directions in the arts have emerged.",Compare selected artworks from various cultures to find differences and similarities.,2010-12-29T05:30:16Z,2026-05-21,Compare selected artworks from various cultures to find differences and similarities.,11cc2b67-8bad-44d4-bb62-d37ecb91f432_VA.K.H.2.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 1,11e02b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.1.S.3.1,1,"Skills, Techniques, and Processes",Visual Art,S.3.1,"Through purposeful practice, artists learn to manage, master, and refine simple, then complex, skills and techniques.",Practice skills and techniques to create with two- and/or three-dimensional media.,2010-12-29T05:30:16Z,2026-05-21,Practice skills and techniques to create with two- and/or three-dimensional media.,11e02b67-8bad-44d4-bb62-d37ecb91f432_VA.1.S.3.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 2,11fe2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.2.S.2.1,1,"Skills, Techniques, and Processes",Visual Art,S.2.1,"Development of skills, techniques, and processes in the arts strengthens our ability to remember, focus on, process, and sequence information.","Develop artistic skills through repeated experiences with art media, techniques, processes, and tools.",2010-12-29T05:30:16Z,2026-05-21,"Develop artistic skills through repeated experiences with art media, techniques, processes, and tools.",11fe2b67-8bad-44d4-bb62-d37ecb91f432_VA.2.S.2.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 2,120d2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.2.F.1.1,1,"Innovation, Technology, and the Future",Visual Art,F.1.1,"Creating, interpreting, and responding in the arts stimulate the imagination and encourage innovation and creative risk-taking.",Use imagination to create unique artwork incorporating personal ideas and selected media.,2010-12-29T05:30:16Z,2026-05-21,Use imagination to create unique artwork incorporating personal ideas and selected media.,120d2b67-8bad-44d4-bb62-d37ecb91f432_VA.2.F.1.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 3,121f2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.3.S.2.1,1,"Skills, Techniques, and Processes",Visual Art,S.2.1,"Development of skills, techniques, and processes in the arts strengthens our ability to remember, focus on, process, and sequence information.",Integrate the structural elements of art and organizational principles of design with sequential procedures and techniques to achieve an artistic goal.,2010-12-29T05:30:16Z,2026-05-21,Integrate the structural elements of art and organizational principles of design with sequential procedures and techniques to achieve an artistic goal.,121f2b67-8bad-44d4-bb62-d37ecb91f432_VA.3.S.2.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 3,12272b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.3.O.3.1,1,Organizational Structure,Visual Art,O.3.1,"Every art form uses its own unique language, verbal and non-verbal, to document and communicate with the world.","Use symbols, visual language, and/or written language to document self or others.",2010-12-29T05:30:16Z,2026-05-21,"Use symbols, visual language, and/or written language to document self or others.",12272b67-8bad-44d4-bb62-d37ecb91f432_VA.3.O.3.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 3,122e2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.3.H.3.1,1,Historical and Global Connections,Visual Art,H.3.1,Connections among the arts and other disciplines strengthen learning and the ability to transfer knowledge and skills to and from other fields.,Discuss how knowledge gained in the visual art classroom can serve as prior knowledge in other classrooms.,2010-12-29T05:30:16Z,2026-05-21,Discuss how knowledge gained in the visual art classroom can serve as prior knowledge in other classrooms.,122e2b67-8bad-44d4-bb62-d37ecb91f432_VA.3.H.3.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 4,12432b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.4.S.3.1,1,"Skills, Techniques, and Processes",Visual Art,S.3.1,"Through purposeful practice, artists learn to manage, master, and refine simple, then complex, skills and techniques.","Experiment with various materials, tools, techniques, and processes to achieve a variety of results in two- and/or three-dimensional artworks.",2010-12-29T05:30:16Z,2026-05-21,"Experiment with various materials, tools, techniques, and processes to achieve a variety of results in two- and/or three-dimensional artworks.",12432b67-8bad-44d4-bb62-d37ecb91f432_VA.4.S.3.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 4,124b2b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.4.H.1.1,1,Historical and Global Connections,Visual Art,H.1.1,"Through study in the arts, we learn about and honor others and the worlds in which they live(d).",Identify historical and cultural influences that have inspired artists to produce works of art.,2010-12-29T05:30:16Z,2026-05-21,Identify historical and cultural influences that have inspired artists to produce works of art.,124b2b67-8bad-44d4-bb62-d37ecb91f432_VA.4.H.1.1
,https://www.cpalms.org/Public/ims/case/v1p0/CFDocuments/24a98ac7-8878-4212-a321-94b9890bca02.json,Grade 4,12572b67-8bad-44d4-bb62-d37ecb91f432,en_us,VA.4.F.3.1,1,"Innovation, Technology, and the Future",Visual Art,F.3.1,"The 21st-century skills necessary for success as citizens, workers, and leaders in a global economy are embedded in the study of the arts.",Create art to promote awareness of school and/or community concerns.,2010-12-29T05:30:16Z,2026-05-21,Create art to promote awareness of school and/or community concerns.,12572b67-8bad-44d4-bb62-d37ecb91f432_VA.4.F.3.1
